price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,avg_change,changeCategory
56.610001,56.740002,56.27,56.48,7181700,55.035427,6/11/2018,SBUX,-0.002120236,-0.002120106,0.222381026,Even
56.599998,56.900002,56.299999,56.48,8249700,55.035427,6/12/2018,SBUX,0,0,0.260528035,Even
56.509998,56.700001,56.18,56.209999,8283200,54.772335,6/13/2018,SBUX,-0.004780412,-0.004780471,0.428083949,Even
56.459999,57.07,56.310001,57.02,11049700,55.561619,6/14/2018,SBUX,0.014410268,0.014410265,-1.70818468,Less
57.040001,57.209999,56.459999,57.110001,12408300,55.649319,6/15/2018,SBUX,0.001578428,0.001578411,-2.363438298,Less
56.77,57.32,56.110001,57.220001,9676900,55.756504,6/18/2018,SBUX,0.001926079,0.001926107,-2.225282453,Less
56.650002,57.5,56.34,57.43,9965500,55.961128,6/19/2018,SBUX,0.003669957,0.003670028,-2.582289993,Less
54.830002,55.009998,51.580002,52.220001,62091100,50.884388,6/20/2018,SBUX,-0.090719043,-0.090719119,-0.72122882,Less
52.290001,52.630001,50.360001,50.619999,30723000,49.32531,6/21/2018,SBUX,-0.030639614,-0.030639639,-0.308616644,Even
51,51.720001,50.82,51.240002,24429600,49.929451,6/22/2018,SBUX,0.012248093,0.012248183,-1.077154607,Less
51.16,51.439999,50.209999,50.66,15578600,49.364292,6/25/2018,SBUX,-0.011319151,-0.01131932,-0.729048162,Less
50.509998,50.630001,50.110001,50.380001,12930600,49.09145,6/26/2018,SBUX,-0.005527113,-0.005527023,-0.535126711,Less
50.52,50.529999,49.84,49.84,14576900,48.565262,6/27/2018,SBUX,-0.010718526,-0.010718559,-0.436627755,Even
49.450001,49.48,47.369999,48.540001,33210100,47.298512,6/28/2018,SBUX,-0.026083459,-0.026083447,0.028708679,Even
48.080002,49.259998,48.080002,48.849998,17413000,47.600578,6/29/2018,SBUX,0.006386374,0.006386423,0.053221462,Even
48.639999,49.099998,48.549999,49.060001,9870900,47.805214,7/2/2018,SBUX,0.004299023,0.004298936,0.342410052,Even
49.150002,49.299999,48.759998,48.77,7517500,47.522629,7/3/2018,SBUX,-0.005911175,-0.005911149,0.668881268,More
48.919998,49.029999,48.400002,48.610001,9630500,47.366722,7/5/2018,SBUX,-0.00328069,-0.003280685,0.616809568,More
48.900002,49.189999,48.580002,48.98,10712000,47.727257,7/6/2018,SBUX,0.007611567,0.007611582,0.508629196,More
49.209999,50.049999,49.209999,49.900002,12811700,48.62373,7/9/2018,SBUX,0.01878325,0.018783218,0.681644546,More
50.080002,50.509998,49.959999,50.419998,9038000,49.130424,7/10/2018,SBUX,0.010420714,0.010420761,0.205234614,Even
50.220001,50.48,50.02,50.139999,9542400,48.857586,7/11/2018,SBUX,-0.005553341,-0.005553332,0.448413416,Even
50.360001,50.66,50.200001,50.25,9339200,48.964771,7/12/2018,SBUX,0.002193825,0.002193877,0.35261051,Even
50.259998,51.650002,50.259998,51.619999,21718400,50.299732,7/13/2018,SBUX,0.027263704,0.027263662,-0.109232772,Even
51.549999,51.549999,50.689999,50.939999,16974900,49.637127,7/16/2018,SBUX,-0.013173132,-0.013173189,-0.011735889,Even
50.66,51.299999,50.599998,51.279999,11421300,49.96843,7/17/2018,SBUX,0.0066745,0.006674519,-0.035173669,Even
51.34,51.619999,51,51.150002,13549500,49.841755,7/18/2018,SBUX,-0.002535101,-0.002535043,0.00781844,Even
51.110001,51.490002,51,51.34,11415600,50.026897,7/19/2018,SBUX,0.003714596,0.003714526,0.109275404,Even
51.060001,51.240002,50.75,50.91,11024100,49.607895,7/20/2018,SBUX,-0.008375534,-0.008375536,0.210657475,Even
50.759998,51.27,50.759998,51.189999,8406800,49.880733,7/23/2018,SBUX,0.005499891,0.005499882,0.372700371,Even
51.299999,51.720001,51.060001,51.169998,9921500,49.86124,7/24/2018,SBUX,-0.000390792,-0.000390721,0.28262883,Even
51.009998,51.720001,51.009998,51.619999,11368000,50.299732,7/25/2018,SBUX,0.008794246,0.008794235,0.296714225,Even
51.68,51.84,51.34,51.450001,11114800,50.134083,7/26/2018,SBUX,-0.003293238,-0.003293258,0.184743591,Even
51.5,52.599998,50.209999,52.150002,15770300,50.816181,7/27/2018,SBUX,0.013605475,0.013605461,-0.180735268,Even
52.200001,52.849998,51.759998,51.900002,14448400,50.572571,7/30/2018,SBUX,-0.004793945,-0.004793864,0.126859761,Even
52.029999,52.689999,51.849998,52.389999,9228200,51.050041,7/31/2018,SBUX,0.009441284,0.009441175,-0.122935675,Even
52.240002,52.240002,51.25,51.93,11952400,50.601807,8/1/2018,SBUX,-0.008780287,-0.008780283,0.0538494,Even
52.099998,52.349998,51.43,51.68,13636400,50.3582,8/2/2018,SBUX,-0.004814196,-0.004814173,0.088046264,Even
51.700001,52.450001,51.580002,52.23,8246100,50.894131,8/3/2018,SBUX,0.010642378,0.010642415,0.019751387,Even
52.099998,52.27,51.799999,52.07,6505800,50.738224,8/6/2018,SBUX,-0.003063359,-0.003063374,-0.077399997,Even
52.080002,52.209999,51.799999,52.07,5869400,50.738224,8/7/2018,SBUX,0,0,0.038685224,Even
51.830002,51.93,51.360001,51.549999,7257200,50.58123,8/8/2018,SBUX,-0.003094196,-0.009986576,0.400957112,Even
51.529999,52.02,51.32,51.919998,7175400,50.944279,8/9/2018,SBUX,0.007177544,0.007177478,0.31851906,Even
51.59,51.630001,51.200001,51.509998,10539300,50.541981,8/10/2018,SBUX,-0.007896824,-0.007896765,0.584640449,More
51.619999,51.959999,51.470001,51.810001,7911300,50.836346,8/13/2018,SBUX,0.005824168,0.00582417,0.663507253,More
51.849998,52.740002,51.790001,52.59,9385400,51.601688,8/14/2018,SBUX,0.015055016,0.015054989,0.500263068,More
52.310001,52.939999,52.299999,52.75,9566000,51.758678,8/15/2018,SBUX,0.003042342,0.003042403,0.467692226,Even
52.98,53.360001,52.919998,53.040001,8721200,52.043232,8/16/2018,SBUX,0.005497706,0.005497649,-0.082292369,Even
52.950001,53.610001,52.950001,53.560001,8166900,52.553459,8/17/2018,SBUX,0.009803907,0.009803921,-0.337127819,Even
53.709999,54.16,53.700001,53.919998,9791200,52.906693,8/20/2018,SBUX,0.006721422,0.006721378,-0.439602707,Even
54.169998,54.439999,53.950001,54,7990000,52.985188,8/21/2018,SBUX,0.00148365,0.001483717,-0.388385958,Even
53.549999,53.639999,52.66,52.82,10369600,51.827366,8/22/2018,SBUX,-0.021851805,-0.021851852,0.087037378,Even
52.759998,53.189999,52.560001,52.66,8567600,51.670376,8/23/2018,SBUX,-0.003029095,-0.003029156,0.222908664,Even
52.82,52.919998,52.419998,52.75,9849800,51.758678,8/24/2018,SBUX,0.001708948,0.001709077,0.13201703,Even
52.990002,53.18,52.810001,52.970001,6443200,51.974545,8/27/2018,SBUX,0.004170644,0.004170635,0.180572381,Even
53.02,53.470001,52.98,53.049999,7171900,52.05304,8/28/2018,SBUX,0.001510259,0.001510251,0.180192774,Even
53.07,53.439999,52.720001,53.25,6604900,52.249283,8/29/2018,SBUX,0.003770058,0.003770047,0.202157143,Even
53.119999,53.41,52.970001,53.099998,5576400,52.102104,8/30/2018,SBUX,-0.002816862,-0.002816939,0.414053241,Even
52.459999,53.709999,52.450001,53.450001,10892800,52.445522,8/31/2018,SBUX,0.00659125,0.006591394,0.522533717,More
53.439999,53.689999,53.209999,53.529999,8235200,52.524017,9/4/2018,SBUX,0.001496696,0.001496688,0.530661379,More
53.470001,53.98,53.290001,53.790001,7966300,52.779137,9/5/2018,SBUX,0.004857207,0.004857127,0.487268146,Even
53.66,54.349998,53.650002,54.209999,7803400,53.191238,9/6/2018,SBUX,0.007808028,0.007808105,0.277241671,Even
54.200001,54.959999,54.16,54.860001,10231700,53.829029,9/7/2018,SBUX,0.011990527,0.011990445,0.010915812,Even
54.939999,55.110001,54.57,54.970001,8621000,53.936958,9/10/2018,SBUX,0.002005033,0.002005104,-0.080087524,Even
54.830002,55.400002,54.77,55.119999,7873900,54.084141,9/11/2018,SBUX,0.002728797,0.002728725,-0.20051078,Even
55.200001,55.200001,54.330002,54.970001,7297300,53.936958,9/12/2018,SBUX,-0.002721371,-0.002721299,0.036463558,Even
55.119999,55.57,54.740002,54.889999,8566600,53.858463,9/13/2018,SBUX,-0.00145531,-0.001455376,0.196570233,Even
55,55,54.610001,54.75,6827700,53.721092,9/14/2018,SBUX,-0.002550593,-0.002550537,0.608145512,More
54.700001,54.860001,54.279999,54.57,9277200,53.544476,9/17/2018,SBUX,-0.003287647,-0.003287671,1.032443565,More
54.48,55.279999,54.099998,55.07,7569600,54.03508,9/18/2018,SBUX,0.009162551,0.009162544,0.576368283,More
55.220001,55.790001,54.900002,55.43,7451600,54.388313,9/19/2018,SBUX,0.006537105,0.006537135,0.519618401,More
55.599998,56.73,55.599998,56.43,10582600,55.369522,9/20/2018,SBUX,0.018040806,0.018040772,0.295006314,Even
56.549999,57.57,56.52,57.450001,25800500,56.370354,9/21/2018,SBUX,0.018075504,0.018075509,-0.038508739,Even
56.939999,57.360001,56.580002,56.689999,10616000,55.624634,9/24/2018,SBUX,-0.013228939,-0.013228929,0.052624523,Even
56.98,57.290001,56.830002,56.900002,9445500,55.830688,9/25/2018,SBUX,0.003704366,0.00370441,-0.464901343,Even
56.77,57.84,56.75,57.27,7757300,56.193737,9/26/2018,SBUX,0.006502678,0.006502601,-0.594436992,Less
57.099998,57.790001,57.099998,57.34,6606200,56.262421,9/27/2018,SBUX,0.001222271,0.00122228,-0.665907169,Less
57.389999,57.389999,56.779999,56.84,8975900,55.771816,9/28/2018,SBUX,-0.008719941,-0.008719916,-0.340049784,Even
56.91,56.950001,55.529999,55.580002,12726900,54.5355,10/1/2018,SBUX,-0.022167397,-0.022167452,0.06467769,Even
55.549999,56.009998,55.290001,55.59,12680800,54.545311,10/2/2018,SBUX,0.000179901,0.000179885,0.34019592,Even
55.799999,56.110001,55.459999,55.470001,7383500,54.427563,10/3/2018,SBUX,-0.002158719,-0.002158644,0.796104019,More
55.779999,56.080002,55.5,55.889999,9722000,54.839672,10/4/2018,SBUX,0.007571697,0.007571624,0.042566826,Even
55.950001,55.950001,55.310001,55.759998,9734000,54.712109,10/5/2018,SBUX,-0.002326108,-0.002326015,-0.320419185,Even
55.82,56.75,55.450001,56.540001,9623900,55.477455,10/8/2018,SBUX,0.013988604,0.013988577,-0.031962674,Even
56.830002,59.700001,56.810001,57.709999,24855700,56.625465,10/9/2018,SBUX,0.020693271,0.020693279,-0.34069135,Even
57.669998,57.869999,55.939999,56.009998,14190500,54.957417,10/10/2018,SBUX,-0.029457559,-0.029457651,0.638569965,More
55.700001,56.27,54.709999,54.860001,15316900,53.829029,10/11/2018,SBUX,-0.020532042,-0.020531995,1.487875343,More
55.709999,56.779999,55.279999,56.450001,13980500,55.389149,10/12/2018,SBUX,0.028982875,0.028982865,0.758440924,More
56.369999,57.189999,56.310001,56.75,10175100,55.683506,10/15/2018,SBUX,0.005314344,0.00531442,0.656448059,More
56.939999,58.009998,56.77,57.810001,11731400,56.723591,10/16/2018,SBUX,0.018678511,0.018678432,0.371872354,Even
57.900002,59.400002,57.779999,59.099998,14631000,57.989346,10/17/2018,SBUX,0.022314437,0.022314426,-0.098601146,Even
59,59.529999,58.150002,58.639999,12184700,57.537991,10/18/2018,SBUX,-0.007783412,-0.007783401,-0.197904874,Even
58.389999,59.07,58.389999,58.66,10180500,57.557613,10/19/2018,SBUX,0.000341027,0.000341081,0.102253959,Even
58.93,59.360001,58.580002,58.900002,8680200,57.793102,10/22/2018,SBUX,0.004091361,0.004091408,-0.283468904,Even
58.360001,59.299999,58.209999,58.810001,12834200,57.7048,10/23/2018,SBUX,-0.001527899,-0.001528031,-0.150546361,Even
58.57,59.279999,57.950001,58.060001,12189700,56.968891,10/24/2018,SBUX,-0.012752995,-0.012752933,0.181475486,Even
58.290001,59.470001,57.700001,58.959999,9569600,57.851978,10/25/2018,SBUX,0.015501215,0.015501171,-0.236092206,Even
58.040001,58.360001,57.389999,58.07,13367600,56.978703,10/26/2018,SBUX,-0.015094989,-0.015094963,0.191825401,Even
58.68,59.68,57.700001,58.369999,14412800,57.273067,10/29/2018,SBUX,0.005166211,0.005166162,1.995437034,More
58.43,58.869999,57.689999,58.59,14230100,57.48893,10/30/2018,SBUX,0.003769014,0.003769077,1.93565406,More
58.98,59.119999,58.209999,58.27,11560400,57.174942,10/31/2018,SBUX,-0.005461712,-0.005461683,2.483077049,More
58.299999,59.07,58.07,58.630001,18772400,57.528175,11/1/2018,SBUX,0.006178109,0.006178153,2.963311436,More
